"","County_desc","DEM","REP","UNA","LIB","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",2063,2421,388,5,4430,411,0,18,0,1
"2","ALEXANDER",1077,1250,280,1,2534,65,0,1,0,0
"3","ALLEGHANY",592,224,54,0,855,15,0,0,0,0
"4","ANSON",739,106,35,0,588,291,0,1,0,0
"5","ASHE",551,568,110,0,1217,8,0,1,0,0
"6","AVERY",74,430,86,0,587,0,0,1,0,0
"7","BEAUFORT",1058,855,227,7,1947,183,0,1,0,0
"8","BERTIE",582,55,24,0,321,340,0,0,0,0
"9","BLADEN",1482,173,103,1,1115,623,0,3,0,0
"10","BRUNSWICK",1686,2220,599,2,4153,305,0,14,0,1
"11","BUNCOMBE",3715,3528,1007,3,7869,240,0,87,0,1
"12","BURKE",1402,1091,318,1,2574,217,0,4,0,1
"13","CABARRUS",1606,3065,503,9,4734,387,0,21,0,0
"14","CALDWELL",2135,2779,545,6,5050,373,0,28,0,0
"15","CAMDEN",251,73,41,0,320,41,0,1,0,1
"16","CARTERET",1196,1594,392,2,3064,104,0,2,0,1
"17","CASWELL",302,111,51,1,327,136,0,0,0,0
"18","CATAWBA",1452,3223,595,3,5048,180,0,8,0,4
"19","CHATHAM",1443,773,287,4,2148,333,0,3,0,0
"20","CHEROKEE",613,837,197,2,1610,18,0,7,0,0
"21","CHOWAN",162,178,29,4,314,56,0,0,0,0
"22","CLAY",351,300,91,1,735,0,0,6,0,0
"23","CLEVELAND",1306,1009,172,1,2091,383,0,1,0,2
"24","CRAVEN",2290,2228,601,6,4328,757,0,11,0,0
"25","CUMBERLAND",3101,2453,581,12,3932,1929,0,9,0,6
"26","CURRITUCK",131,156,43,0,314,8,0,2,0,0
"27","DARE",507,412,137,1,1028,21,0,3,0,0
"28","DAVIDSON",1910,2936,459,4,5131,165,0,1,0,0
"29","DAVIE",282,792,113,0,1119,65,0,1,0,0
"30","DUPLIN",1020,336,152,1,1156,341,0,10,0,0
"31","DURHAM",4268,2113,705,15,4786,2117,0,88,0,9
"32","EDGECOMBE",751,190,46,2,555,427,0,1,0,1
