"","county_desc","DEM","REP","UNA","LIB","age","WHITE","BLACK","NATIVE","UND","TWO","ASIAN"
"1","ALAMANCE",172,145,66,0,59.1096605744125,326,41,1,5,2,1
"2","ANSON",313,25,16,0,64.4435028248588,251,99,0,2,0,0
"3","AVERY",34,121,48,0,59.0738916256158,193,3,1,1,1,0
"4","BEAUFORT",353,132,106,0,61.7208121827411,435,148,1,2,1,0
"5","BERTIE",204,32,28,0,58.6893939393939,213,43,0,6,1,0
"6","BLADEN",67,11,12,0,57.8888888888889,75,14,0,0,0,0
"7","BRUNSWICK",566,884,525,1,64.0187246963563,1822,126,0,18,1,2
"8","BUNCOMBE",2257,617,884,6,57.9721041445271,3394,173,2,103,13,8
"9","BURKE",3628,2317,1313,5,56.6643260360732,6955,246,8,8,2,4
"10","CABARRUS",306,271,187,1,54.2183006535948,639,99,5,11,1,2
"11","CALDWELL",460,455,156,1,62.3171641791045,1027,35,0,4,4,0
"12","CAMDEN",9,5,3,0,70.0588235294118,17,0,0,0,0,0
"13","CARTERET",312,274,188,0,61.7596899224806,671,83,0,2,2,5
"14","CASWELL",9,1,1,0,62.5454545454545,10,1,0,0,0,0
"15","CATAWBA",492,666,287,1,61.5525587828492,1294,129,0,7,2,2
"16","CHATHAM",249,110,182,1,58.4446494464945,473,42,0,6,9,4
"17","CHOWAN",209,136,73,2,65.9880952380952,377,39,0,1,0,0
"18","CLEVELAND",590,218,148,1,57.5141065830721,688,252,0,9,3,0
"19","COLUMBUS",359,49,42,0,61.7622222222222,323,123,1,1,0,0
"20","CRAVEN",874,827,547,2,61.0564444444444,1913,263,3,14,5,7
"21","CUMBERLAND",1558,639,757,3,44.0821778829895,1093,1485,9,160,19,21
"22","DARE",178,187,177,0,63.0055350553506,536,2,0,1,0,2
"23","DAVIDSON",396,282,105,1,63.8354591836735,622,146,0,1,1,3
"24","DAVIE",5,13,5,0,64.0869565217391,22,1,0,0,0,0
"25","DUPLIN",57,6,12,0,61.5866666666667,52,22,0,1,0,0
