Election Date,County Name,Site Label,Ballot Request Type,Ballot Return Status,Total Count
11/8/16,ALAMANCE,CS,ONE-STOP,ACCEPTED,"15,182"
11/8/16,ALAMANCE,HHM,ONE-STOP,ACCEPTED,"10,167"
11/8/16,ALAMANCE,KSC,ONE-STOP,ACCEPTED,"7,175"
11/8/16,ALAMANCE,MAC,ONE-STOP,ACCEPTED,"7,245"
11/8/16,ALEXANDER,BETH,ONE-STOP,ACCEPTED,"2,755"
11/8/16,ALEXANDER,LOB,ONE-STOP,ACCEPTED,"8,980"
11/8/16,ALEXANDER,S,ONE-STOP,ACCEPTED,766
11/8/16,ALLEGHANY,BOE,ONE-STOP,ACCEPTED,"3,567"
11/8/16,ANSON,LOB,ONE-STOP,ACCEPTED,"5,841"
11/8/16,ASHE,BOE,ONE-STOP,ACCEPTED,"6,253"
11/8/16,ASHE,FWFD,ONE-STOP,ACCEPTED,596
11/8/16,AVERY,LOB,ONE-STOP,ACCEPTED,"2,917"
11/8/16,BEAUFORT,AR,ONE-STOP,ACCEPTED,588
11/8/16,BEAUFORT,BEL,ONE-STOP,ACCEPTED,891
11/8/16,BEAUFORT,CHOC,ONE-STOP,ACCEPTED,"1,051"
11/8/16,BEAUFORT,LOB,ONE-STOP,ACCEPTED,"11,916"
11/8/16,BERTIE,LOB,ONE-STOP,ACCEPTED,"3,937"
11/8/16,BERTIE,POW,ONE-STOP,ACCEPTED,"1,419"
11/8/16,BLADEN,BB,ONE-STOP,ACCEPTED,"1,769"
11/8/16,BLADEN,BOE,ONE-STOP,ACCEPTED,2
11/8/16,BLADEN,DU,ONE-STOP,ACCEPTED,"1,933"
11/8/16,BLADEN,EA,ONE-STOP,ACCEPTED,577
11/8/16,BLADEN,LIB,ONE-STOP,ACCEPTED,"5,331"
11/8/16,BRUNSWICK,BCC,ONE-STOP,ACCEPTED,"1,046"
11/8/16,BRUNSWICK,COOP,ONE-STOP,ACCEPTED,"2,946"
11/8/16,BRUNSWICK,HOLD,ONE-STOP,ACCEPTED,"1,782"
11/8/16,BRUNSWICK,LCAC,ONE-STOP,ACCEPTED,"5,038"
11/8/16,BRUNSWICK,LETH,ONE-STOP,ACCEPTED,"8,336"
11/8/16,BRUNSWICK,OKI2,ONE-STOP,ACCEPTED,"2,605"
11/8/16,BRUNSWICK,SBIC,ONE-STOP,ACCEPTED,"5,477"
11/8/16,BRUNSWICK,SLL2,ONE-STOP,ACCEPTED,"11,939"
11/8/16,BRUNSWICK,SPT3,ONE-STOP,ACCEPTED,"7,293"
11/8/16,BRUNSWICK,STJA,ONE-STOP,ACCEPTED,"2,899"
11/8/16,BUNCOMBE,ABTC,ONE-STOP,ACCEPTED,959
11/8/16,BUNCOMBE,ACCC,ONE-STOP,ACCEPTED,"2,890"
11/8/16,BUNCOMBE,AVML,ONE-STOP,ACCEPTED,"6,986"
11/8/16,BUNCOMBE,BMBL,ONE-STOP,ACCEPTED,"6,349"
11/8/16,BUNCOMBE,BTFD,ONE-STOP,ACCEPTED,"4,408"
11/8/16,BUNCOMBE,ECBL,ONE-STOP,ACCEPTED,"8,378"
11/8/16,BUNCOMBE,FVBL,ONE-STOP,ACCEPTED,"6,260"
11/8/16,BUNCOMBE,LCBL,ONE-STOP,ACCEPTED,"5,773"
11/8/16,BUNCOMBE,MONT,ONE-STOP,ACCEPTED,"3,027"
11/8/16,BUNCOMBE,MORC,ONE-STOP,ACCEPTED,"2,337"
11/8/16,BUNCOMBE,NABL,ONE-STOP,ACCEPTED,"8,093"
11/8/16,BUNCOMBE,NHPC,ONE-STOP,ACCEPTED,"5,782"
11/8/16,BUNCOMBE,PACK,ONE-STOP,ACCEPTED,"3,036"
11/8/16,BUNCOMBE,PCBC,ONE-STOP,ACCEPTED,"2,020"
11/8/16,BUNCOMBE,SBBL,ONE-STOP,ACCEPTED,"8,018"
11/8/16,BUNCOMBE,UNCA,ONE-STOP,ACCEPTED,"3,598"
11/8/16,BUNCOMBE,WABL,ONE-STOP,ACCEPTED,"9,767"
11/8/16,BUNCOMBE,WGSC,ONE-STOP,ACCEPTED,"2,696"
11/8/16,BUNCOMBE,WOCO,ONE-STOP,ACCEPTED,"1,412"
11/8/16,BUNCOMBE,WVTH,ONE-STOP,ACCEPTED,"9,176"
11/8/16,BURKE,GA,ONE-STOP,ACCEPTED,"2,352"
11/8/16,BURKE,HMCH,ONE-STOP,ACCEPTED,"4,147"
11/8/16,BURKE,LOB,ONE-STOP,ACCEPTED,"7,470"
11/8/16,BURKE,RC,ONE-STOP,ACCEPTED,"4,295"
11/8/16,BURKE,SENR,ONE-STOP,ACCEPTED,"7,892"
11/8/16,CABARRUS,CBB,ONE-STOP,ACCEPTED,"7,580"
11/8/16,CABARRUS,CFS9,ONE-STOP,ACCEPTED,"10,939"
11/8/16,CABARRUS,HBL,ONE-STOP,ACCEPTED,"9,148"
11/8/16,CABARRUS,LOB,ONE-STOP,ACCEPTED,"20,369"
11/8/16,CALDWELL,GFOS,ONE-STOP,ACCEPTED,"10,075"
11/8/16,CALDWELL,LOS,ONE-STOP,ACCEPTED,"14,592"
11/8/16,CAMDEN,A,ONE-STOP,ACCEPTED,"2,565"
11/8/16,CAMDEN,SAT,ONE-STOP,ACCEPTED,277
11/8/16,CARTERET,BOE,ONE-STOP,ACCEPTED,"6,527"
11/8/16,CARTERET,CENT,ONE-STOP,ACCEPTED,"6,787"
11/8/16,CARTERET,EAST,ONE-STOP,ACCEPTED,556
11/8/16,CARTERET,MRHD,ONE-STOP,ACCEPTED,"5,135"
11/8/16,CARTERET,WEST,ONE-STOP,ACCEPTED,"5,841"
11/8/16,CASWELL,CHG,ONE-STOP,ACCEPTED,606
11/8/16,CASWELL,LEAS,ONE-STOP,ACCEPTED,264
11/8/16,CASWELL,LOB,ONE-STOP,ACCEPTED,"5,373"
11/8/16,CASWELL,PELH,ONE-STOP,ACCEPTED,437
11/8/16,CATAWBA,CON,ONE-STOP,ACCEPTED,"6,705"
11/8/16,CATAWBA,LIB,ONE-STOP,ACCEPTED,"13,798"
11/8/16,CATAWBA,MV,ONE-STOP,ACCEPTED,"7,162"
11/8/16,CATAWBA,REC,ONE-STOP,ACCEPTED,"15,616"
11/8/16,CATAWBA,SF,ONE-STOP,ACCEPTED,"5,241"
11/8/16,CHATHAM,GOL,ONE-STOP,ACCEPTED,"1,444"
11/8/16,CHATHAM,NCHM,ONE-STOP,ACCEPTED,"11,741"
11/8/16,CHATHAM,ONE,ONE-STOP,ACCEPTED,"9,832"
11/8/16,CHATHAM,SCCC,ONE-STOP,ACCEPTED,"5,185"
11/8/16,CHEROKEE,BOE,ONE-STOP,ACCEPTED,"7,132"
11/8/16,CHOWAN,BOE,ONE-STOP,ACCEPTED,"4,510"
11/8/16,CHOWAN,NCC,ONE-STOP,ACCEPTED,381
11/8/16,CLAY,LOB,ONE-STOP,ACCEPTED,"3,697"
11/8/16,CLEVELAND,BS,ONE-STOP,ACCEPTED,"3,360"
11/8/16,CLEVELAND,KMOU,ONE-STOP,ACCEPTED,"5,931"
11/8/16,CLEVELAND,SHEL,ONE-STOP,ACCEPTED,"18,529"
11/8/16,COLUMBUS,BO,ONE-STOP,ACCEPTED,444
11/8/16,COLUMBUS,CH,ONE-STOP,ACCEPTED,726
11/8/16,COLUMBUS,ECSC,ONE-STOP,ACCEPTED,"1,429"
11/8/16,COLUMBUS,FBOS,ONE-STOP,ACCEPTED,265
11/8/16,COLUMBUS,LOB,ONE-STOP,ACCEPTED,"8,233"
11/8/16,COLUMBUS,TCR,ONE-STOP,ACCEPTED,"1,297"
11/8/16,CRAVEN,COVE,ONE-STOP,ACCEPTED,"1,713"
11/8/16,CRAVEN,GRNT,ONE-STOP,ACCEPTED,"3,891"
11/8/16,CRAVEN,HNB,ONE-STOP,ACCEPTED,"5,369"
11/8/16,CRAVEN,OFF,ONE-STOP,ACCEPTED,"12,897"
11/8/16,CRAVEN,RHEM,ONE-STOP,ACCEPTED,"2,646"
11/8/16,CRAVEN,VANC,ONE-STOP,ACCEPTED,"3,008"
11/8/16,CRAVEN,WNB,ONE-STOP,ACCEPTED,"3,019"
11/8/16,CUMBERLAND,A,ONE-STOP,ACCEPTED,"12,304"
11/8/16,CUMBERLAND,B,ONE-STOP,ACCEPTED,"14,631"
11/8/16,CUMBERLAND,C,ONE-STOP,ACCEPTED,"12,077"
11/8/16,CUMBERLAND,D,ONE-STOP,ACCEPTED,"12,294"
11/8/16,CUMBERLAND,E,ONE-STOP,ACCEPTED,"7,332"
11/8/16,CUMBERLAND,G,ONE-STOP,ACCEPTED,"4,717"
11/8/16,CUMBERLAND,H,ONE-STOP,ACCEPTED,"5,995"
11/8/16,CUMBERLAND,I,ONE-STOP,ACCEPTED,"5,518"
11/8/16,CUMBERLAND,J,ONE-STOP,ACCEPTED,"4,308"
11/8/16,CUMBERLAND,L,ONE-STOP,ACCEPTED,"2,250"
11/8/16,CURRITUCK,LOB,ONE-STOP,ACCEPTED,"4,994"
11/8/16,DARE,BOE,ONE-STOP,ACCEPTED,"4,378"
11/8/16,DARE,FESS,ONE-STOP,ACCEPTED,787
11/8/16,DARE,KDH,ONE-STOP,ACCEPTED,"2,828"
11/8/16,DARE,PITT,ONE-STOP,ACCEPTED,"2,314"
11/8/16,DAVIDSON,ARC,ONE-STOP,ACCEPTED,"7,462"
11/8/16,DAVIDSON,BOE,ONE-STOP,ACCEPTED,"12,743"
11/8/16,DAVIDSON,DLIB,ONE-STOP,ACCEPTED,"4,587"
11/8/16,DAVIDSON,MID,ONE-STOP,ACCEPTED,"7,580"
11/8/16,DAVIDSON,TLIB,ONE-STOP,ACCEPTED,"10,205"
11/8/16,DAVIE,BOE,ONE-STOP,ACCEPTED,"7,330"
11/8/16,DAVIE,BRTH,ONE-STOP,ACCEPTED,"3,962"
11/8/16,DAVIE,FULT,ONE-STOP,ACCEPTED,721
11/8/16,DAVIE,JVFD,ONE-STOP,ACCEPTED,809
11/8/16,DAVIE,WVFD,ONE-STOP,ACCEPTED,911
11/8/16,DUPLIN,KEN,ONE-STOP,ACCEPTED,2
11/8/16,DUPLIN,KENA,ONE-STOP,ACCEPTED,"10,848"
11/8/16,DURHAM,DBOE,ONE-STOP,ACCEPTED,"18,749"
11/8/16,DURHAM,DD,ONE-STOP,ACCEPTED,"8,195"
11/8/16,DURHAM,DTNC,ONE-STOP,ACCEPTED,"1,376"
11/8/16,DURHAM,DTTC,ONE-STOP,ACCEPTED,"1,754"
11/8/16,DURHAM,EAST,ONE-STOP,ACCEPTED,"14,760"
11/8/16,DURHAM,ERU,ONE-STOP,ACCEPTED,"18,208"
11/8/16,DURHAM,FRON,ONE-STOP,ACCEPTED,"2,183"
11/8/16,DURHAM,GETG,ONE-STOP,ACCEPTED,"1,232"
11/8/16,DURHAM,IVY,ONE-STOP,ACCEPTED,"4,672"
11/8/16,DURHAM,NCCU,ONE-STOP,ACCEPTED,"3,870"
11/8/16,DURHAM,NJBC,ONE-STOP,ACCEPTED,"2,446"
11/8/16,DURHAM,NORT,ONE-STOP,ACCEPTED,"19,280"
11/8/16,DURHAM,SORL,ONE-STOP,ACCEPTED,"21,875"
11/8/16,EDGECOMBE,BTB1,ONE-STOP,ACCEPTED,582
11/8/16,EDGECOMBE,PNP4,ONE-STOP,ACCEPTED,"2,271"
11/8/16,EDGECOMBE,RMT5,ONE-STOP,ACCEPTED,"5,644"
11/8/16,EDGECOMBE,RMT6,ONE-STOP,ACCEPTED,"1,277"
11/8/16,EDGECOMBE,SPD,ONE-STOP,ACCEPTED,97
11/8/16,EDGECOMBE,TAR2,ONE-STOP,ACCEPTED,"6,333"
11/8/16,FORSYTH,BRWD,ONE-STOP,ACCEPTED,"4,035"
11/8/16,FORSYTH,CLEM,ONE-STOP,ACCEPTED,"7,617"
11/8/16,FORSYTH,HARP,ONE-STOP,ACCEPTED,"7,692"
11/8/16,FORSYTH,KER,ONE-STOP,ACCEPTED,"9,106"
11/8/16,FORSYTH,LEW,ONE-STOP,ACCEPTED,"6,886"
11/8/16,FORSYTH,LOB,ONE-STOP,ACCEPTED,"16,916"
11/8/16,FORSYTH,MAZ,ONE-STOP,ACCEPTED,"4,482"
11/8/16,FORSYTH,MILL,ONE-STOP,ACCEPTED,"5,407"
11/8/16,FORSYTH,OLDT,ONE-STOP,ACCEPTED,"5,108"
11/8/16,FORSYTH,POLO,ONE-STOP,ACCEPTED,"5,393"
11/8/16,FORSYTH,REYN,ONE-STOP,ACCEPTED,"2,825"
11/8/16,FORSYTH,RURL,ONE-STOP,ACCEPTED,"5,355"
11/8/16,FORSYTH,SEDG,ONE-STOP,ACCEPTED,"5,738"
11/8/16,FORSYTH,SOUT,ONE-STOP,ACCEPTED,"6,764"
11/8/16,FORSYTH,SPRG,ONE-STOP,ACCEPTED,"2,992"
11/8/16,FORSYTH,STPL,ONE-STOP,ACCEPTED,"2,696"
11/8/16,FORSYTH,WALK,ONE-STOP,ACCEPTED,"5,988"
11/8/16,FRANKLIN,BL,ONE-STOP,ACCEPTED,"3,492"
11/8/16,FRANKLIN,BOE,ONE-STOP,ACCEPTED,"6,942"
11/8/16,FRANKLIN,FRK,ONE-STOP,ACCEPTED,"2,543"
11/8/16,FRANKLIN,YNG,ONE-STOP,ACCEPTED,"6,106"
11/8/16,GASTON,CHE,ONE-STOP,ACCEPTED,"3,145"
11/8/16,GASTON,DAL,ONE-STOP,ACCEPTED,"10,552"
11/8/16,GASTON,FBC,ONE-STOP,ACCEPTED,"7,167"
11/8/16,GASTON,LIB,ONE-STOP,ACCEPTED,"8,915"
11/8/16,GASTON,MH,ONE-STOP,ACCEPTED,"14,504"
11/8/16,GASTON,OSBE,ONE-STOP,ACCEPTED,"21,505"
11/8/16,GATES,2,ONE-STOP,ACCEPTED,544
11/8/16,GATES,GCBO,ONE-STOP,ACCEPTED,"1,815"
11/8/16,GRAHAM,LOB,ONE-STOP,ACCEPTED,"2,416"
11/8/16,GRANVILLE,CRDM,ONE-STOP,ACCEPTED,"7,317"
11/8/16,GRANVILLE,OXD,ONE-STOP,ACCEPTED,"8,263"
11/8/16,GRANVILLE,WIL,ONE-STOP,ACCEPTED,"3,025"
11/8/16,GREENE,BOE,ONE-STOP,ACCEPTED,"4,643"
11/8/16,GUILFORD,AJ,ONE-STOP,ACCEPTED,"2,211"
11/8/16,GUILFORD,AT,ONE-STOP,ACCEPTED,"4,856"
11/8/16,GUILFORD,BM,ONE-STOP,ACCEPTED,"10,259"
11/8/16,GUILFORD,BP,ONE-STOP,ACCEPTED,"6,772"
11/8/16,GUILFORD,BR,ONE-STOP,ACCEPTED,"9,860"
11/8/16,GUILFORD,CH,ONE-STOP,ACCEPTED,"6,543"
11/8/16,GUILFORD,CR,ONE-STOP,ACCEPTED,"11,064"
11/8/16,GUILFORD,DR,ONE-STOP,ACCEPTED,"7,477"
11/8/16,GUILFORD,GA,ONE-STOP,ACCEPTED,"6,320"
11/8/16,GUILFORD,GB,ONE-STOP,ACCEPTED,"15,231"
11/8/16,GUILFORD,GC,ONE-STOP,ACCEPTED,"4,116"
11/8/16,GUILFORD,GR,ONE-STOP,ACCEPTED,"5,777"
11/8/16,GUILFORD,GT,ONE-STOP,ACCEPTED,"1,821"
11/8/16,GUILFORD,GU,ONE-STOP,ACCEPTED,"2,159"
11/8/16,GUILFORD,JA,ONE-STOP,ACCEPTED,"8,533"
11/8/16,GUILFORD,KC,ONE-STOP,ACCEPTED,"6,417"
11/8/16,GUILFORD,LR,ONE-STOP,ACCEPTED,"11,412"
11/8/16,GUILFORD,LW,ONE-STOP,ACCEPTED,"10,063"
11/8/16,GUILFORD,NP,ONE-STOP,ACCEPTED,"2,114"
11/8/16,GUILFORD,OC,ONE-STOP,ACCEPTED,"4,078"
11/8/16,GUILFORD,OM,ONE-STOP,ACCEPTED,"7,637"
11/8/16,GUILFORD,OR,ONE-STOP,ACCEPTED,"7,300"
11/8/16,GUILFORD,PL,ONE-STOP,ACCEPTED,"5,547"
11/8/16,GUILFORD,TR,ONE-STOP,ACCEPTED,"3,365"
11/8/16,GUILFORD,WT,ONE-STOP,ACCEPTED,"5,993"
11/8/16,HALIFAX,AG,ONE-STOP,ACCEPTED,"4,891"
11/8/16,HALIFAX,BOE,ONE-STOP,ACCEPTED,1
11/8/16,HALIFAX,RA,ONE-STOP,ACCEPTED,"7,465"
11/8/16,HALIFAX,SN,ONE-STOP,ACCEPTED,"1,680"
11/8/16,HARNETT,3,ONE-STOP,ACCEPTED,"3,848"
11/8/16,HARNETT,4,ONE-STOP,ACCEPTED,"3,284"
11/8/16,HARNETT,5,ONE-STOP,ACCEPTED,"2,242"
11/8/16,HARNETT,6,ONE-STOP,ACCEPTED,"1,924"
11/8/16,HARNETT,LOB,ONE-STOP,ACCEPTED,"15,709"
11/8/16,HAYWOOD,CLY,ONE-STOP,ACCEPTED,"2,736"
11/8/16,HAYWOOD,LIB,ONE-STOP,ACCEPTED,"5,940"
11/8/16,HAYWOOD,SRC,ONE-STOP,ACCEPTED,"10,733"
11/8/16,HENDERSON,ETOS,ONE-STOP,ACCEPTED,"6,662"
11/8/16,HENDERSON,FLOS,ONE-STOP,ACCEPTED,"8,725"
11/8/16,HENDERSON,FROS,ONE-STOP,ACCEPTED,"6,670"
11/8/16,HENDERSON,LOB,ONE-STOP,ACCEPTED,"15,452"
11/8/16,HERTFORD,A3,ONE-STOP,ACCEPTED,"2,485"
11/8/16,HERTFORD,COOP,ONE-STOP,ACCEPTED,"1,657"
11/8/16,HERTFORD,M1,ONE-STOP,ACCEPTED,"1,803"
11/8/16,HOKE,LOB,ONE-STOP,ACCEPTED,"7,377"
11/8/16,HOKE,RFCC,ONE-STOP,ACCEPTED,"4,115"
