,County,DEM,REP,UNA,,,,
89,HENDERSON,12860,24338,21546,1263.5,0.375,473.8125,DEM
38,CHATHAM,17486,10300,13539,2866,0.46,1318.36,DEM
,STOKES,5203,11269,4594,4899.5,0.3,1469.85,DEM
,PAMLICO,2840,2360,1759,3917,0.41,1605.97,DEM
,MARTIN,6815,2227,1891,3280.5,0.52,1705.86,DEM
87,HAYWOOD,12110,9781,8508,4699.5,0.44,2067.78,DEM
94,HOKE,10471,4242,4747,5178,0.4,2071.2,DEM
27,CALDWELL,9935,19277,9537,6634.5,0.33,2189.385,DEM
57,DAVIDSON,18468,38034,17197,8028.5,0.31,2488.835,DEM
,RANDOLPH,13661,36375,15970,3563.5,0.73,2601.355,DEM
6,ALLEGHANY,2027,2073,1387,4086,0.64,2615.04,DEM
66,EDGECOMBE,19060,4022,2350,8074.5,0.325,2624.2125,DEM
,MITCHELL,849,5273,2191,3842,0.73,2804.66,DEM
,MCDOWELL,5963,8680,5886,8352.5,0.35,2923.375,DEM
72,GASTON,31973,43201,25831,4817.5,0.625,3010.9375,DEM
8,ANSON,7652,1605,1547,7952.5,0.38,3021.95,DEM
21,BUNCOMBE,61530,36852,49382,5522,0.565,3119.93,DEM
,TRANSYLVANIA,5112,6500,6699,7400.5,0.425,3145.2125,DEM
100,JACKSON,7398,5502,6511,6787.5,0.485,3291.9375,DEM
,WILKES,6604,16336,5987,5178,0.7,3624.6,DEM
59,DAVIE,3994,12544,5694,13246,0.295,3907.57,DEM
,LINCOLN,10009,18375,10510,13042,0.315,4108.23,DEM
,YANCEY,3691,3697,2496,9360,0.445,4165.2,DEM
17,BLADEN,9778,2604,3924,8352.5,0.51,4259.775,DEM
62,DUPLIN,9320,5674,4184,7791,0.555,4324.005,DEM
,YADKIN,2470,10289,3491,17765.5,0.255,4530.2025,DEM
40,CHEROKEE,3711,6688,3931,6344.5,0.715,4536.3175,DEM
,WASHINGTON,4260,786,1050,11711.5,0.415,4860.2725,DEM
,ROBESON,26879,5336,5839,11691.5,0.42,4910.43,DEM
,JONES,2407,1291,1022,9228,0.54,4983.12,DEM
,RUTHERFORD,10769,12451,7774,7791,0.66,5142.06,DEM
,ROCKINGHAM,16359,14670,9366,8874,0.585,5191.29,DEM
85,HARNETT,18044,18111,11135,13134.5,0.41,5385.145,DEM
53,CURRITUCK,2457,4347,4008,18545.5,0.33,6120.015,DEM
,NASH,24876,14494,8533,12610.5,0.5,6305.25,DEM
,SURRY,10273,15030,7634,19190.5,0.335,6428.8175,DEM
4,ALEXANDER,4719,9199,5104,9228,0.71,6551.88,DEM
2,ALAMANCE,27294,23644,16587,11870.5,0.56,6647.48,DEM
,VANCE,14235,3172,3211,18409.5,0.365,6719.4675,DEM
,NEW HANOVER,38468,39631,36112,13113,0.515,6753.195,DEM
,WARREN,6955,1234,1416,21605,0.315,6805.575,DEM
47,COLUMBUS,13417,4611,4461,14965.5,0.46,6884.13,DEM
,SWAIN,2790,1798,2021,14596.5,0.475,6933.3375,DEM
70,FRANKLIN,13077,9498,7222,14031,0.51,7155.81,DEM
,JOHNSTON,27085,34456,21636,11870.5,0.625,7419.0625,DEM
,TYRRELL,920,252,435,15483,0.48,7431.84,DEM
83,HALIFAX,17143,2926,4399,11638.5,0.65,7565.025,DEM
,PITT,39590,23044,19303,14965.5,0.535,8006.5425,DEM
77,GRANVILLE,13939,7123,6426,15483,0.525,8128.575,DEM
,LENOIR,15519,7643,5061,16443,0.495,8139.285,DEM
,WAKE,194590,137052,163151,18951.5,0.435,8243.9025,DEM
64,DURHAM,98828,21782,50006,36389.5,0.235,8551.5325,DEM
,UNION,27671,49587,31652,28377,0.355,10073.835,DEM
,MONTGOMERY,4754,3619,2455,17953,0.565,10143.445,DEM
55,DARE,6250,6090,6631,24451.5,0.43,10514.145,DEM
,RICHMOND,11458,4009,4041,21871,0.485,10607.435,DEM
42,CHOWAN,3573,2045,1853,20805.5,0.515,10714.8325,DEM
19,BRUNSWICK,19573,29440,23595,29405.5,0.4,11762.2,DEM
,PASQUOTANK,9399,4170,5094,20713.5,0.575,11910.2625,DEM
,STANLY,8025,14547,7306,39487,0.305,12043.535,DEM
23,BURKE,13436,15679,11293,31081.5,0.39,12121.785,DEM
81,GUILFORD,120109,72871,62141,20881.5,0.585,12215.6775,DEM
