"","x"
"1",2007-01-23
"2",2011-02-01
"3",2010-02-02
"4",2008-02-05
"5",2007-02-06
"6",2010-03-02
"7",2010-03-09
"8",2008-03-11
"9",2013-03-12
"10",2016-03-15
"11",2010-03-16
"12",2008-03-18
"13",2013-03-19
"14",2011-04-26
"15",2010-05-04
"16",2009-05-05
"17",2008-05-06
"18",2014-05-06
"19",2007-05-08
"20",2012-05-08
"21",2009-05-19
"22",2011-06-07
"23",2016-06-07
"24",2007-06-19
"25",2010-06-22
"26",2008-06-24
"27",2014-07-15
"28",2012-07-17
"29",2008-07-29
"30",2009-08-18
"31",2008-08-19
"32",2008-08-29
"33",2010-08-31
"34",2008-09-09
"35",2013-09-10
"36",2007-09-11
"37",2011-09-13
"38",2009-09-15
"39",2009-10-06
"40",2015-10-06
"41",2013-10-08
"42",2007-10-09
"43",2011-10-11
"44",2010-11-02
"45",2009-11-03
"46",2015-11-03
"47",2008-11-04
"48",2014-11-04
"49",2013-11-05
"50",2007-11-06
"51",2012-11-06
"52",2006-11-07
"53",2011-11-08
"54",2010-12-07
"55",2008-12-09
"56",2008-01-08
"57",2008-01-29
"58",2009-02-03
"59",2010-03-02
"60",2008-03-11
"61",2016-03-15
"62",2013-03-19
"63",2010-05-04
"64",2008-05-06
"65",2014-05-06
"66",2007-05-08
"67",2012-05-08
"68",2011-05-17
"69",2009-05-19
"70",2016-06-07
"71",2007-06-12
"72",2010-06-22
"73",2008-06-24
"74",2014-07-15
"75",2012-07-17
"76",2008-07-29
"77",2008-08-19
"78",2010-08-31
"79",2008-09-09
"80",2007-09-11
"81",2009-09-15
"82",2012-09-18
"83",2009-10-06
"84",2013-10-08
"85",2011-10-11
"86",2010-11-02
"87",2009-11-03
"88",2015-11-03
"89",2008-11-04
"90",2014-11-04
"91",2013-11-05
"92",2007-11-06
"93",2012-11-06
"94",2006-11-07
"95",2011-11-08
"96",2008-03-11
"97",2016-03-15
"98",2010-05-04
"99",2008-05-06
"100",2014-05-06
