X,Party,Percent,X,variable,value,,,,
Alamance,Dem,0.43,Alamance,DEM,0.45,0.44,#REF!,,
Alamance,GOP,0.57,Alamance,GOP,0.55,0.56,#REF!,,
Alexander,Dem,0.27,Alexander,DEM,0.31,0.29,#REF!,,
Alexander,GOP,0.72,Alexander,GOP,0.7,0.71,#REF!,,
Alleghany,Dem,0.31,Alleghany,DEM,0.39,0.35,#REF!,,
Alleghany,GOP,0.67,Alleghany,GOP,0.61,0.64,#REF!,,
Anson,Dem,0.62,Anson,DEM,0.61,0.615,#REF!,,
Anson,GOP,0.37,Anson,GOP,0.39,0.38,#REF!,,
Ashe,Dem,0.33,Ashe,DEM,0.38,0.355,#REF!,,
Ashe,GOP,0.66,Ashe,GOP,0.62,0.64,#REF!,,
Avery,Dem,0.24,Avery,DEM,0.28,0.26,#REF!,,
Avery,GOP,0.75,Avery,GOP,0.72,0.735,#REF!,,
Beaufort,Dem,0.4,Beaufort,DEM,0.41,0.405,#REF!,,
Beaufort,GOP,0.59,Beaufort,GOP,0.59,0.59,#REF!,,
Bertie,Dem,0.66,Bertie,DEM,0.65,0.655,#REF!,,
Bertie,GOP,0.34,Bertie,GOP,0.35,0.345,#REF!,,
Bladen,Dem,0.51,Bladen,DEM,0.51,0.51,#REF!,,1869187
Bladen,GOP,0.49,Bladen,GOP,0.49,0.49,#REF!,,1765964
Brunswick,Dem,0.39,Brunswick,DEM,0.41,0.4,#REF!,,98354
Brunswick,GOP,0.61,Brunswick,GOP,0.59,0.6,#REF!,,3733505
Buncombe,Dem,0.56,Buncombe,DEM,0.57,0.565,#REF!,,0
Buncombe,GOP,0.43,Buncombe,GOP,0.43,0.43,#REF!,,
Burke,Dem,0.38,Burke,DEM,0.4,0.39,#REF!,,
Burke,GOP,0.61,Burke,GOP,0.6,0.605,#REF!,,
Cabarrus,Dem,0.39,Cabarrus,DEM,0.41,0.4,#REF!,,
Cabarrus,GOP,0.6,Cabarrus,GOP,0.59,0.595,#REF!,,
Caldwell,Dem,0.31,Caldwell,DEM,0.35,0.33,#REF!,,
Caldwell,GOP,0.67,Caldwell,GOP,0.65,0.66,#REF!,,
Camden,Dem,0.32,Camden,DEM,0.34,0.33,#REF!,,
Camden,GOP,0.66,Camden,GOP,0.66,0.66,#REF!,,
Carteret,Dem,0.29,Carteret,DEM,0.33,0.31,#REF!,,
Carteret,GOP,0.7,Carteret,GOP,0.67,0.685,#REF!,,
Caswell,Dem,0.48,Caswell,DEM,0.51,0.495,#REF!,,
Caswell,GOP,0.51,Caswell,GOP,0.49,0.5,#REF!,,
Catawba,Dem,0.35,Catawba,DEM,0.37,0.36,#REF!,,
Catawba,GOP,0.64,Catawba,GOP,0.63,0.635,#REF!,,
Chatham,Dem,0.52,Chatham,DEM,0.55,0.535,#REF!,,
Chatham,GOP,0.47,Chatham,GOP,0.45,0.46,#REF!,,
Cherokee,Dem,0.26,Cherokee,DEM,0.3,0.28,#REF!,,
Cherokee,GOP,0.73,Cherokee,GOP,0.7,0.715,#REF!,,
Chowan,Dem,0.47,Chowan,DEM,0.49,0.48,#REF!,,
Chowan,GOP,0.52,Chowan,GOP,0.51,0.515,#REF!,,
Clay,Dem,0.28,Clay,DEM,0.32,0.3,#REF!,,
Clay,GOP,0.71,Clay,GOP,0.68,0.695,#REF!,,
Cleveland,Dem,0.39,Cleveland,DEM,0.4,0.395,#REF!,,
Cleveland,GOP,0.6,Cleveland,GOP,0.6,0.6,#REF!,,
Columbus,Dem,0.46,Columbus,DEM,0.46,0.46,#REF!,,
Columbus,GOP,0.54,Columbus,GOP,0.54,0.54,#REF!,,
Craven,Dem,0.41,Craven,DEM,0.43,0.42,#REF!,,
Craven,GOP,0.59,Craven,GOP,0.57,0.58,#REF!,,
Cumberland,Dem,0.6,Cumberland,DEM,0.59,0.595,#REF!,,
Cumberland,GOP,0.4,Cumberland,GOP,0.41,0.405,#REF!,,
Currituck,Dem,0.32,Currituck,DEM,0.34,0.33,#REF!,,
Currituck,GOP,0.67,Currituck,GOP,0.66,0.665,#REF!,,
Dare,Dem,0.41,Dare,DEM,0.45,0.43,#REF!,,
Dare,GOP,0.57,Dare,GOP,0.55,0.56,#REF!,,
Davidson,Dem,0.29,Davidson,DEM,0.33,0.31,#REF!,,
Davidson,GOP,0.7,Davidson,GOP,0.67,0.685,#REF!,,
Davie,Dem,0.28,Davie,DEM,0.31,0.295,#REF!,,
Davie,GOP,0.71,Davie,GOP,0.69,0.7,#REF!,,
Duplin,Dem,0.44,Duplin,DEM,0.45,0.445,#REF!,,
Duplin,GOP,0.56,Duplin,GOP,0.55,0.555,#REF!,,
Durham,Dem,0.76,Durham,DEM,0.76,0.76,#REF!,,
Durham,GOP,0.23,Durham,GOP,0.24,0.235,#REF!,,
Edgecombe,Dem,0.68,Edgecombe,DEM,0.67,0.675,#REF!,,
Edgecombe,GOP,0.32,Edgecombe,GOP,0.33,0.325,#REF!,,
Forsyth,Dem,0.53,Forsyth,DEM,0.55,0.54,#REF!,,
Forsyth,GOP,0.46,Forsyth,GOP,0.45,0.455,#REF!,,
Franklin,Dem,0.48,Franklin,DEM,0.5,0.49,#REF!,,
Franklin,GOP,0.52,Franklin,GOP,0.5,0.51,#REF!,,
Gaston,Dem,0.37,Gaston,DEM,0.37,0.37,#REF!,,
Gaston,GOP,0.62,Gaston,GOP,0.63,0.625,#REF!,,
Gates,Dem,0.52,Gates,DEM,0.53,0.525,#REF!,,
Gates,GOP,0.48,Gates,GOP,0.47,0.475,#REF!,,
Graham,Dem,0.29,Graham,DEM,0.31,0.3,#REF!,,
Graham,GOP,0.7,Graham,GOP,0.69,0.695,#REF!,,
Granville,Dem,0.52,Granville,DEM,0.53,0.525,#REF!,,
Granville,GOP,0.47,Granville,GOP,0.47,0.47,#REF!,,
Greene,Dem,0.46,Greene,DEM,0.47,0.465,#REF!,,
Greene,GOP,0.54,Greene,GOP,0.53,0.535,#REF!,,
Guilford,Dem,0.58,Guilford,DEM,0.59,0.585,#REF!,,
Guilford,GOP,0.41,Guilford,GOP,0.41,0.41,#REF!,,
Halifax,Dem,0.66,Halifax,DEM,0.64,0.65,#REF!,,
Halifax,GOP,0.34,Halifax,GOP,0.36,0.35,#REF!,,
Harnett,Dem,0.4,Harnett,DEM,0.42,0.41,#REF!,,
Harnett,GOP,0.59,Harnett,GOP,0.59,0.59,#REF!,,
Haywood,Dem,0.42,Haywood,DEM,0.46,0.44,#REF!,,
Haywood,GOP,0.56,Haywood,GOP,0.54,0.55,#REF!,,
Henderson,Dem,0.36,Henderson,DEM,0.39,0.375,#REF!,,
Henderson,GOP,0.63,Henderson,GOP,0.61,0.62,#REF!,,
Hertford,Dem,0.72,Hertford,DEM,0.71,0.715,#REF!,,
Hertford,GOP,0.28,Hertford,GOP,0.29,0.285,#REF!,,
Hoke,Dem,0.59,Hoke,DEM,0.6,0.595,#REF!,,
Hoke,GOP,0.4,Hoke,GOP,0.4,0.4,#REF!,,
Hyde,Dem,0.49,Hyde,DEM,0.51,0.5,#REF!,,
Hyde,GOP,0.5,Hyde,GOP,0.5,0.5,#REF!,,
Iredell,Dem,0.34,Iredell,DEM,0.38,0.36,#REF!,,
Iredell,GOP,0.65,Iredell,GOP,0.62,0.635,#REF!,,
Jackson,Dem,0.49,Jackson,DEM,0.53,0.51,#REF!,,
Jackson,GOP,0.5,Jackson,GOP,0.47,0.485,#REF!,,
Johnston,Dem,0.36,Johnston,DEM,0.38,0.37,#REF!,,
Johnston,GOP,0.63,Johnston,GOP,0.62,0.625,#REF!,,
Jones,Dem,0.45,Jones,DEM,0.46,0.455,#REF!,,
Jones,GOP,0.54,Jones,GOP,0.54,0.54,#REF!,,
Lee,Dem,0.44,Lee,DEM,0.46,0.45,#REF!,,
Lee,GOP,0.55,Lee,GOP,0.54,0.545,#REF!,,
Lenoir,Dem,0.49,Lenoir,DEM,0.5,0.495,#REF!,,
