"","X","variable","value"
"1","Alamance","DEM",0.45
"2","Alamance","GOP",0.55
"3","Alexander","DEM",0.31
"4","Alexander","GOP",0.7
"5","Alleghany","DEM",0.39
"6","Alleghany","GOP",0.61
"7","Anson","DEM",0.61
"8","Anson","GOP",0.39
"9","Ashe","DEM",0.38
"10","Ashe","GOP",0.62
"11","Avery","DEM",0.28
"12","Avery","GOP",0.72
"13","Beaufort","DEM",0.41
"14","Beaufort","GOP",0.59
"15","Bertie","DEM",0.65
"16","Bertie","GOP",0.35
"17","Bladen","DEM",0.51
"18","Bladen","GOP",0.49
"19","Brunswick","DEM",0.41
"20","Brunswick","GOP",0.59
"21","Buncombe","DEM",0.57
"22","Buncombe","GOP",0.43
"23","Burke","DEM",0.4
"24","Burke","GOP",0.6
"25","Cabarrus","DEM",0.41
"26","Cabarrus","GOP",0.59
"27","Caldwell","DEM",0.35
"28","Caldwell","GOP",0.65
"29","Camden","DEM",0.34
"30","Camden","GOP",0.66
"31","Carteret","DEM",0.33
"32","Carteret","GOP",0.67
"33","Caswell","DEM",0.51
"34","Caswell","GOP",0.49
"35","Catawba","DEM",0.37
"36","Catawba","GOP",0.63
"37","Chatham","DEM",0.55
"38","Chatham","GOP",0.45
"39","Cherokee","DEM",0.3
"40","Cherokee","GOP",0.7
"41","Chowan","DEM",0.49
"42","Chowan","GOP",0.51
"43","Clay","DEM",0.32
"44","Clay","GOP",0.68
"45","Cleveland","DEM",0.4
"46","Cleveland","GOP",0.6
"47","Columbus","DEM",0.46
"48","Columbus","GOP",0.54
"49","Craven","DEM",0.43
"50","Craven","GOP",0.57
"51","Cumberland","DEM",0.59
"52","Cumberland","GOP",0.41
"53","Currituck","DEM",0.34
"54","Currituck","GOP",0.66
"55","Dare","DEM",0.45
"56","Dare","GOP",0.55
"57","Davidson","DEM",0.33
"58","Davidson","GOP",0.67
"59","Davie","DEM",0.31
"60","Davie","GOP",0.69
"61","Duplin","DEM",0.45
"62","Duplin","GOP",0.55
"63","Durham","DEM",0.76
"64","Durham","GOP",0.24
"65","Edgecombe","DEM",0.67
"66","Edgecombe","GOP",0.33
"67","Forsyth","DEM",0.55
"68","Forsyth","GOP",0.45
"69","Franklin","DEM",0.5
"70","Franklin","GOP",0.5
"71","Gaston","DEM",0.37
"72","Gaston","GOP",0.63
"73","Gates","DEM",0.53
"74","Gates","GOP",0.47
"75","Graham","DEM",0.31
"76","Graham","GOP",0.69
"77","Granville","DEM",0.53
"78","Granville","GOP",0.47
"79","Greene","DEM",0.47
"80","Greene","GOP",0.53
"81","Guilford","DEM",0.59
"82","Guilford","GOP",0.41
"83","Halifax","DEM",0.64
"84","Halifax","GOP",0.36
"85","Harnett","DEM",0.42
"86","Harnett","GOP",0.59
"87","Haywood","DEM",0.46
"88","Haywood","GOP",0.54
"89","Henderson","DEM",0.39
"90","Henderson","GOP",0.61
"91","Hertford","DEM",0.71
"92","Hertford","GOP",0.29
"93","Hoke","DEM",0.6
"94","Hoke","GOP",0.4
"95","Hyde","DEM",0.51
"96","Hyde","GOP",0.5
"97","Iredell","DEM",0.38
"98","Iredell","GOP",0.62
"99","Jackson","DEM",0.53
"100","Jackson","GOP",0.47
"101","Johnston","DEM",0.38
"102","Johnston","GOP",0.62
"103","Jones","DEM",0.46
"104","Jones","GOP",0.54
"105","Lee","DEM",0.46
"106","Lee","GOP",0.54
"107","Lenoir","DEM",0.5
"108","Lenoir","GOP",0.5
"109","Lincoln","DEM",0.33
"110","Lincoln","GOP",0.67
"111","Macon","DEM",0.39
"112","Macon","GOP",0.61
"113","Madison","DEM",0.49
"114","Madison","GOP",0.51
"115","Martin","DEM",0.52
"116","Martin","GOP",0.48
"117","McDowell","DEM",0.36
"118","McDowell","GOP",0.64
"119","Mecklenburg","DEM",0.62
"120","Mecklenburg","GOP",0.38
"121","Mitchell","DEM",0.29
"122","Mitchell","GOP",0.71
"123","Montgomery","DEM",0.44
"124","Montgomery","GOP",0.56
"125","Moore","DEM",0.39
"126","Moore","GOP",0.61
"127","Nash","DEM",0.49
"128","Nash","GOP",0.51
"129","New Hanover","DEM",0.49
"130","New Hanover","GOP",0.51
"131","Northampton","DEM",0.65
"132","Northampton","GOP",0.35
"133","Onslow","DEM",0.39
"134","Onslow","GOP",0.61
"135","Orange","DEM",0.73
"136","Orange","GOP",0.27
"137","Pamlico","DEM",0.43
"138","Pamlico","GOP",0.58
"139","Pasquotank","DEM",0.57
"140","Pasquotank","GOP",0.43
