Party,Percent,Popular Vote,,,,,,,
GOP,0.57,"37,712",,,,,,,
Dem,0.43,"28,341",,,,,,,
Lib,0.01,585,,,,,,,
GOP,0.72,"12,207",,,,,,,
Dem,0.27,"4,591",,,,,,,
Lib,0.02,262,,,,,,,
GOP,0.67,"3,378",,,,,,,
Dem,0.31,"1,574",,,,,,,
Lib,0.02,73,,,,,,,
Dem,0.62,"6,894",,,,,,,
GOP,0.37,"4,125",,,,,,,
Lib,0.01,53,,,,,,,
GOP,0.66,"8,207",,,,,,,
Dem,0.33,"4,100",,,,,,,
Lib,0.01,179,,,,,,,
GOP,0.75,"5,708",,,,,,,
Dem,0.24,"1,861",,,,,,,
Lib,0.01,88,,,,,,,
GOP,0.59,"13,918",,,,,,,
Dem,0.40,"9,399",,,,,,,
Lib,0.01,151,,,,,,,
Dem,0.66,"6,537",,,,,,,
GOP,0.34,"3,367",,,,,,,
Lib,0.00,37,,,,,,,
Dem,0.51,"8,277",,,,,,,
GOP,0.49,"7,947",,,,,,,
Lib,0.01,127,,,,,,,
GOP,0.61,"34,587",,,,,,,
Dem,0.39,"21,932",,,,,,,
Lib,0.01,466,,,,,,,
Dem,0.56,"70,066",,,,,,,
GOP,0.43,"54,429",,,,,,,
Lib,0.01,"1,706",,,,,,,
GOP,0.61,"22,109",,,,,,,
Dem,0.38,"13,577",,,,,,,
Lib,0.01,430,,,,,,,
GOP,0.60,"49,125",,,,,,,
Dem,0.39,"32,453",,,,,,,
Lib,0.01,867,,,,,,,
GOP,0.67,"23,069",,,,,,,
Dem,0.31,"10,795",,,,,,,
Lib,0.01,474,,,,,,,
GOP,0.66,"2,995",,,,,,,
Dem,0.32,"1,456",,,,,,,
Lib,0.02,69,,,,,,,
GOP,0.70,"24,598",,,,,,,
Dem,0.29,"10,197",,,,,,,
Lib,0.01,329,,,,,,,
GOP,0.51,"5,471",,,,,,,
Dem,0.48,"5,183",,,,,,,
Lib,0.01,82,,,,,,,
GOP,0.64,"44,386",,,,,,,
Dem,0.35,"23,954",,,,,,,
Lib,0.01,762,,,,,,,
Dem,0.52,"18,252",,,,,,,
GOP,0.47,"16,578",,,,,,,
Lib,0.01,327,,,,,,,
GOP,0.73,"9,201",,,,,,,
Dem,0.26,"3,339",,,,,,,
Lib,0.01,155,,,,,,,
GOP,0.52,"3,872",,,,,,,
Dem,0.47,"3,507",,,,,,,
Lib,0.01,45,,,,,,,
GOP,0.71,"3,952",,,,,,,
Dem,0.28,"1,573",,,,,,,
Lib,0.01,67,,,,,,,
GOP,0.60,"25,440",,,,,,,
Dem,0.39,"16,734",,,,,,,
Lib,0.01,368,,,,,,,
GOP,0.54,"12,863",,,,,,,
Dem,0.46,"10,973",,,,,,,
Lib,0.01,181,,,,,,,
GOP,0.59,"26,654",,,,,,,
Dem,0.41,"18,556",,,,,,,
Lib,0.01,375,,,,,,,
Dem,0.60,"74,991",,,,,,,
GOP,0.40,"50,191",,,,,,,
Lib,0.01,910,,,,,,,
GOP,0.67,"7,431",,,,,,,
Dem,0.32,"3,521",,,,,,,
Lib,0.02,201,,,,,,,
GOP,0.57,"10,102",,,,,,,
Dem,0.41,"7,258",,,,,,,
Lib,0.01,254,,,,,,,
GOP,0.70,"48,935",,,,,,,
Dem,0.29,"20,291",,,,,,,
Lib,0.01,768,,,,,,,
GOP,0.71,"14,568",,,,,,,
Dem,0.28,"5,652",,,,,,,
Lib,0.01,198,,,,,,,
GOP,0.56,"11,330",,,,,,,
Dem,0.44,"8,923",,,,,,,
Lib,0.01,122,,,,,,,
Dem,0.76,"109,185",,,,,,,
GOP,0.23,"33,326",,,,,,,
Lib,0.01,"1,317",,,,,,,
Dem,0.68,"18,249",,,,,,,
GOP,0.32,"8,494",,,,,,,
Lib,0.00,83,,,,,,,
Dem,0.53,"91,606",,,,,,,
GOP,0.46,"79,177",,,,,,,
Lib,0.01,"1,549",,,,,,,
GOP,0.52,"14,480",,,,,,,
Dem,0.48,"13,317",,,,,,,
Lib,0.01,262,,,,,,,
GOP,0.62,"55,817",,,,,,,
Dem,0.37,"32,903",,,,,,,
Lib,0.01,918,,,,,,,
Dem,0.52,"2,745",,,,,,,
GOP,0.48,"2,532",,,,,,,
Lib,0.01,33,,,,,,,
GOP,0.70,"2,743",,,,,,,
Dem,0.29,"1,115",,,,,,,
Lib,0.01,52,,,,,,,
