,DEM,GOP
Alamance,0.45,0.55
Alexander,0.31,0.70
Alleghany,0.39,0.61
Anson,0.61,0.39
Ashe,0.38,0.62
Avery,0.28,0.72
Beaufort,0.41,0.59
Bertie,0.65,0.35
Bladen,0.51,0.49
Brunswick,0.41,0.59
Buncombe,0.57,0.43
Burke,0.40,0.60
Cabarrus,0.41,0.59
Caldwell,0.35,0.65
Camden,0.34,0.66
Carteret,0.33,0.67
Caswell,0.51,0.49
Catawba,0.37,0.63
Chatham,0.55,0.45
Cherokee,0.30,0.70
Chowan,0.49,0.51
Clay,0.32,0.68
Cleveland,0.40,0.60
Columbus,0.46,0.54
Craven,0.43,0.57
Cumberland,0.59,0.41
Currituck,0.34,0.66
Dare,0.45,0.55
Davidson,0.33,0.67
Davie,0.31,0.69
Duplin,0.45,0.55
Durham,0.76,0.24
Edgecombe,0.67,0.33
Forsyth,0.55,0.45
Franklin,0.50,0.50
Gaston,0.37,0.63
Gates,0.53,0.47
Graham,0.31,0.69
Granville,0.53,0.47
Greene,0.47,0.53
Guilford,0.59,0.41
Halifax,0.64,0.36
Harnett,0.42,0.59
Haywood,0.46,0.54
Henderson,0.39,0.61
Hertford,0.71,0.29
Hoke,0.60,0.40
Hyde,0.51,0.50
Iredell,0.38,0.62
Jackson,0.53,0.47
Johnston,0.38,0.62
Jones,0.46,0.54
Lee,0.46,0.54
Lenoir,0.50,0.50
Lincoln,0.33,0.67
Macon,0.39,0.61
Madison,0.49,0.51
Martin,0.52,0.48
McDowell,0.36,0.64
Mecklenburg,0.62,0.38
Mitchell,0.29,0.71
Montgomery,0.44,0.56
Moore,0.39,0.61
Nash,0.49,0.51
New Hanover,0.49,0.51
Northampton,0.65,0.35
Onslow,0.39,0.61
Orange,0.73,0.27
Pamlico,0.43,0.58
Pasquotank,0.57,0.43
Pender,0.42,0.58
Perquimans,0.43,0.57
Person,0.46,0.54
Pitt,0.54,0.46
Polk,0.42,0.58
Randolph,0.29,0.71
Richmond,0.51,0.49
Robeson,0.57,0.43
Rockingham,0.43,0.57
Rowan,0.38,0.62
Rutherford,0.34,0.66
Sampson,0.46,0.54
Scotland,0.58,0.42
Stanly,0.32,0.69
Stokes,0.32,0.68
Surry,0.36,0.64
Swain,0.49,0.51
Transylvania,0.44,0.56
Tyrrell,0.49,0.51
Union,0.37,0.64
Vance,0.63,0.37
Wake,0.58,0.43
Warren,0.69,0.31
Washington,0.58,0.42
Watauga,0.52,0.48
Wayne,0.46,0.54
Wilkes,0.31,0.69
Wilson,0.52,0.48
Yadkin,0.27,0.73
Yancey,0.47,0.53
